REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP711;Men's Linen Bermuda;Linen Sand;38 FR;92207;92200;;221;;SP711_92207_92200;3663938577128
SP711;Men's Linen Bermuda;Linen Sand;40 FR;92207;92201;;466;;SP711_92207_92201;3663938577135
SP711;Men's Linen Bermuda;Linen Sand;42 FR;92207;92202;;400;;SP711_92207_92202;3663938577142
SP711;Men's Linen Bermuda;Linen Sand;44 FR;92207;92203;;540;;SP711_92207_92203;3663938577159
SP711;Men's Linen Bermuda;Linen Sand;46 FR;92207;92204;;340;;SP711_92207_92204;3663938577166
SP711;Men's Linen Bermuda;Linen Sand;48 FR;92207;92205;;177;;SP711_92207_92205;3663938577173
SP713;Ladies' Linen Short;Linen Sand;34 FR;92291;92285;;160;;SP713_92291_92285;3663938577470
SP713;Ladies' Linen Short;Linen Sand;36 FR;92291;92286;;500;;SP713_92291_92286;3663938577487
SP713;Ladies' Linen Short;Linen Sand;38 FR;92291;92287;;540;;SP713_92291_92287;3663938577494
SP713;Ladies' Linen Short;Linen Sand;40 FR;92291;92288;;400;;SP713_92291_92288;3663938577500
SP713;Ladies' Linen Short;Linen Sand;42 FR;92291;92289;;240;;SP713_92291_92289;3663938577517
SP713;Ladies' Linen Short;Linen Sand;44 FR;92291;92290;;105;;SP713_92291_92290;3663938577524
SP713;Ladies' Linen Short;White;40 FR;92292;92288;21/09/2026;220;;SP713_92292_92288;3663938577562
SP713;Ladies' Linen Short;White;42 FR;92292;92289;21/09/2026;80;;SP713_92292_92289;3663938577579
SP729;Eco-friendly Men's Terry Towel Short;Light Olive Green;M;94238;94233;21/01/2027;160;;SP729_94238_94233;3663639144704
SP729;Eco-friendly Men's Terry Towel Short;Light Olive Green;L;94238;94234;21/01/2027;180;;SP729_94238_94234;3663639144698
SP729;Eco-friendly Men's Terry Towel Short;Light Olive Green;XL;94238;94235;21/01/2027;160;;SP729_94238_94235;3663639144728
SP729;Eco-friendly Men's Terry Towel Short;Light Olive Green;XXL;94238;94236;21/01/2027;20;;SP729_94238_94236;3663639144735
SP729;Eco-friendly Men's Terry Towel Short;Navy Blue;M;94239;94233;21/01/2027;140;;SP729_94239_94233;3663639144759
SP729;Eco-friendly Men's Terry Towel Short;Navy Blue;L;94239;94234;21/01/2027;160;;SP729_94239_94234;3663639144742
SP729;Eco-friendly Men's Terry Towel Short;Navy Blue;XL;94239;94235;21/01/2027;140;;SP729_94239_94235;3663639144773
SP729;Eco-friendly Men's Terry Towel Short;Navy Blue;XXL;94239;94236;21/01/2027;60;;SP729_94239_94236;3663639144780
SP733;Ladies' Linen Washed Effect Trousers;Washed Navy Blue;XS;92241;92235;;160;;SP733_92241_92235;3663938625522
SP733;Ladies' Linen Washed Effect Trousers;Washed Navy Blue;S;92241;92236;;560;;SP733_92241_92236;3663938625508
SP733;Ladies' Linen Washed Effect Trousers;Washed Navy Blue;M;92241;92237;;560;;SP733_92241_92237;3663938625492
SP733;Ladies' Linen Washed Effect Trousers;Washed Navy Blue;L;92241;92238;;300;;SP733_92241_92238;3663938625485
SP733;Ladies' Linen Washed Effect Trousers;Washed Navy Blue;XL;92241;92239;;40;;SP733_92241_92239;3663938625515
SP733;Ladies' Linen Washed Effect Trousers;Washed Organic Khaki;S;92242;92236;;380;;SP733_92242_92236;3663938625560
SP733;Ladies' Linen Washed Effect Trousers;Washed Organic Khaki;M;92242;92237;;260;;SP733_92242_92237;3663938625553
SP733;Ladies' Linen Washed Effect Trousers;Washed Organic Khaki;L;92242;92238;;280;;SP733_92242_92238;3663938625546
SP733;Ladies' Linen Washed Effect Trousers;Washed Organic Khaki;XL;92242;92239;;100;;SP733_92242_92239;3663938625577
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;S;93549;93540;13/11/2026;357;;SP900_93549_93540;3663938718606
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;S;93549;93540;27/11/2026;30;;SP900_93549_93540;3663938718606
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;M;93549;93541;13/11/2026;450;;SP900_93549_93541;3663938718644
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;M;93549;93541;27/11/2026;30;;SP900_93549_93541;3663938718644
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;L;93549;93542;13/11/2026;265;;SP900_93549_93542;3663938718682
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;XL;93549;93543;13/11/2026;175;;SP900_93549_93543;3663938718729
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;XXL;93549;93544;13/11/2026;59;;SP900_93549_93544;3663938718767
SP900;Eco-friendly Men's Round Neck Jumper;Wet Sand;3XL;93549;93545;13/11/2026;48;;SP900_93549_93545;3663938719139
