REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP202;Men’s long sleeve linen polo shirt;Navy;M;23578;13430;0;SP202-NAVY-M-25;SP202_23578_13430;
SP202;Men’s long sleeve linen polo shirt;Navy;L;23578;13431;0;SP202-NAVY-L-25;SP202_23578_13431;
SP202;Men’s long sleeve linen polo shirt;Navy;XL;23578;13432;0;SP202-NAVY-XL-25;SP202_23578_13432;
SP202;Men’s long sleeve linen polo shirt;Navy;XXL;23578;13433;0;SP202-NAVY-XXL-25;SP202_23578_13433;
SP202;Men’s long sleeve linen polo shirt;Navy;S;23578;23576;0;SP202-NAVY-S-25;SP202_23578_23576;
SP202;Men’s long sleeve linen polo shirt;Navy;3XL;23578;23577;0;SP202-NAVY-XXXL-25;SP202_23578_23577;
SP202;Men’s long sleeve linen polo shirt;Navy Blue;M;91988;13430;0;;SP202_91988_13430;3663938578798
SP202;Men’s long sleeve linen polo shirt;Navy Blue;L;91988;13431;0;;SP202_91988_13431;3663938578781
SP202;Men’s long sleeve linen polo shirt;Navy Blue;XL;91988;13432;0;;SP202_91988_13432;3663938578811
SP202;Men’s long sleeve linen polo shirt;Navy Blue;XXL;91988;13433;;;SP202_91988_13433;3663938578828
SP202;Men’s long sleeve linen polo shirt;Navy Blue;S;91988;23576;0;;SP202_91988_23576;3663938578804
SP202;Men’s long sleeve linen polo shirt;Navy Blue;3XL;91988;23577;63;;SP202_91988_23577;3663938578774
SP202;Men’s long sleeve linen polo shirt;Wet Sand;M;91989;13430;18;;SP202_91989_13430;3663938578859
SP202;Men’s long sleeve linen polo shirt;Wet Sand;L;91989;13431;118;;SP202_91989_13431;3663938578842
SP202;Men’s long sleeve linen polo shirt;Wet Sand;XL;91989;13432;45;;SP202_91989_13432;3663938578873
SP202;Men’s long sleeve linen polo shirt;Wet Sand;XXL;91989;13433;61;;SP202_91989_13433;3663938578880
SP202;Men’s long sleeve linen polo shirt;Wet Sand;S;91989;23576;0;;SP202_91989_23576;3663938578866
SP202;Men’s long sleeve linen polo shirt;Wet Sand;3XL;91989;23577;16;;SP202_91989_23577;3663938578835
SP203;Eco-friendly men's knitted polo shirt;Almond Green;M;88703;13096;511;;SP203_88703_13096;3663938621869
SP203;Eco-friendly men's knitted polo shirt;Almond Green;L;88703;13097;382;;SP203_88703_13097;3663938621876
SP203;Eco-friendly men's knitted polo shirt;Almond Green;XL;88703;13098;197;;SP203_88703_13098;3663938621883
SP203;Eco-friendly men's knitted polo shirt;Almond Green;XXL;88703;13099;61;;SP203_88703_13099;3663938621890
SP203;Eco-friendly men's knitted polo shirt;Almond Green;S;88703;88702;116;;SP203_88703_88702;3663938621906
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;M;88704;13096;304;;SP203_88704_13096;3663938621913
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;L;88704;13097;328;;SP203_88704_13097;3663938621920
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;XL;88704;13098;165;;SP203_88704_13098;3663938621937
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;XXL;88704;13099;118;;SP203_88704_13099;3663938621944
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;S;88704;88702;115;;SP203_88704_88702;3663938621951
SP203;Eco-friendly men's knitted polo shirt;Ivory;M;90969;13096;447;;SP203_90969_13096;3663938662534
SP203;Eco-friendly men's knitted polo shirt;Ivory;L;90969;13097;443;;SP203_90969_13097;3663938662541
SP203;Eco-friendly men's knitted polo shirt;Ivory;XL;90969;13098;147;;SP203_90969_13098;3663938662558
SP203;Eco-friendly men's knitted polo shirt;Ivory;XXL;90969;13099;72;;SP203_90969_13099;3663938662565
SP203;Eco-friendly men's knitted polo shirt;Ivory;S;90969;88702;124;;SP203_90969_88702;3663938662572
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;M;90970;13096;165;;SP203_90970_13096;3663938662589
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;L;90970;13097;162;;SP203_90970_13097;3663938662596
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;XL;90970;13098;107;;SP203_90970_13098;3663938662602
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;XXL;90970;13099;47;;SP203_90970_13099;3663938662619
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;S;90970;88702;25;;SP203_90970_88702;3663938662626
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;M;90971;13096;180;;SP203_90971_13096;3663938662633
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;L;90971;13097;181;;SP203_90971_13097;3663938662640
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;XL;90971;13098;98;;SP203_90971_13098;3663938662657
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;XXL;90971;13099;11;;SP203_90971_13099;3663938662664
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;S;90971;88702;19;;SP203_90971_88702;3663938662671
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;S;93538;93533;22;;SP204_93538_93533;3663938717289
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;M;93538;93534;147;;SP204_93538_93534;3663938717302
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;L;93538;93535;203;;SP204_93538_93535;3663938717326
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;XL;93538;93536;80;;SP204_93538_93536;3663938717340
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;XXL;93538;93537;10;;SP204_93538_93537;3663938717364
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;S;93539;93533;0;;SP204_93539_93533;3663938717296
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;M;93539;93534;142;;SP204_93539_93534;3663938717319
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;L;93539;93535;174;;SP204_93539_93535;3663938717333
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;XL;93539;93536;100;;SP204_93539_93536;3663938717357
SP204;Eco-friendly men's knitted long sleeve polo shirt;Organic Khaki;XXL;93539;93537;22;;SP204_93539_93537;3663938717371
SP217;Men's knitted linen polo shirt;Linen Sand;S;89392;89386;42;;SP217_89392_89386;3663938621968
SP217;Men's knitted linen polo shirt;Linen Sand;M;89392;89387;87;;SP217_89392_89387;3663938621999
